index;time;month;year;day;BEN
0;530.0;6.0;1951.0;15.0;NaN
1;896.0;6.0;1952.0;15.0;82.1427612305
2;1261.0;6.0;1953.0;15.0;123.591796875
3;1626.0;6.0;1954.0;15.0;100.582374573
4;1991.0;6.0;1955.0;15.0;136.089355469
5;2357.0;6.0;1956.0;15.0;74.4370193481
6;2722.0;6.0;1957.0;15.0;97.7316436768
7;3087.0;6.0;1958.0;15.0;75.5907669067
8;3452.0;6.0;1959.0;15.0;96.8514175415
9;3818.0;6.0;1960.0;15.0;140.149169922
10;4183.0;6.0;1961.0;15.0;76.8438720703
11;4548.0;6.0;1962.0;15.0;99.0474472046
12;4913.0;6.0;1963.0;15.0;108.559265137
13;5279.0;6.0;1964.0;15.0;98.4368896484
14;5644.0;6.0;1965.0;15.0;104.936775208
15;6009.0;6.0;1966.0;15.0;82.5424804688
16;6374.0;6.0;1967.0;15.0;106.35244751
17;6740.0;6.0;1968.0;15.0;105.900810242
18;7105.0;6.0;1969.0;15.0;118.23890686
19;7470.0;6.0;1970.0;15.0;90.114616394
20;7835.0;6.0;1971.0;15.0;94.2702255249
21;8201.0;6.0;1972.0;15.0;73.1053695679
22;8566.0;6.0;1973.0;15.0;135.770462036
23;8931.0;6.0;1974.0;15.0;132.319534302
24;9296.0;6.0;1975.0;15.0;94.0816574097
25;9662.0;6.0;1976.0;15.0;140.42755127
26;10027.0;6.0;1977.0;15.0;91.1056900024
27;10392.0;6.0;1978.0;15.0;85.7735214233
28;10757.0;6.0;1979.0;15.0;121.683769226
29;11123.0;6.0;1980.0;15.0;112.693351746
30;11488.0;6.0;1981.0;15.0;78.182434082
31;11853.0;6.0;1982.0;15.0;105.715400696
32;12218.0;6.0;1983.0;15.0;98.0882110596
33;12584.0;6.0;1984.0;15.0;100.268745422
34;12949.0;6.0;1985.0;15.0;75.7099075317
35;13314.0;6.0;1986.0;15.0;86.564453125
36;13679.0;6.0;1987.0;15.0;106.317680359
37;14045.0;6.0;1988.0;15.0;90.7198867798
38;14410.0;6.0;1989.0;15.0;117.722366333
39;14775.0;6.0;1990.0;15.0;106.278274536
40;15140.0;6.0;1991.0;15.0;96.836479187
41;15506.0;6.0;1992.0;15.0;80.699256897
42;15871.0;6.0;1993.0;15.0;92.5246353149
43;16236.0;6.0;1994.0;15.0;87.346321106
44;16601.0;6.0;1995.0;15.0;136.56161499
45;16967.0;6.0;1996.0;15.0;140.683944702
46;17332.0;6.0;1997.0;15.0;95.0886764526
47;17697.0;6.0;1998.0;15.0;190.399108887
48;18062.0;6.0;1999.0;15.0;79.795249939
49;18428.0;6.0;2000.0;15.0;107.324127197
50;18793.0;6.0;2001.0;15.0;134.823028564
51;19158.0;6.0;2002.0;15.0;90.9750976562
52;19523.0;6.0;2003.0;15.0;132.642227173
53;19889.0;6.0;2004.0;15.0;92.1767883301
54;20254.0;6.0;2005.0;15.0;119.81061554
55;20619.0;6.0;2006.0;15.0;104.968650818
56;20984.0;6.0;2007.0;15.0;108.223777771
57;21350.0;6.0;2008.0;15.0;100.330696106
58;21715.0;6.0;2009.0;15.0;110.441642761
59;22080.0;6.0;2010.0;15.0;96.0483856201
60;22445.0;6.0;2011.0;15.0;77.0740432739
61;22811.0;6.0;2012.0;15.0;102.389060974
62;23176.0;6.0;2013.0;15.0;160.18939209
63;23541.0;6.0;2014.0;15.0;85.4094009399
64;23906.0;6.0;2015.0;15.0;158.774658203
65;24272.0;6.0;2016.0;15.0;110.314239502
66;24637.0;6.0;2017.0;15.0;159.678543091
67;25002.0;6.0;2018.0;15.0;112.8463974
68;25367.0;6.0;2019.0;15.0;86.2439422607
69;25733.0;6.0;2020.0;15.0;81.3439941406
70;26098.0;6.0;2021.0;15.0;94.0341415405
71;26463.0;6.0;2022.0;15.0;102.731216431
72;26828.0;6.0;2023.0;15.0;141.700881958
73;27194.0;6.0;2024.0;15.0;83.673576355
74;27559.0;6.0;2025.0;15.0;133.371963501
75;27924.0;6.0;2026.0;15.0;101.718673706
76;28289.0;6.0;2027.0;15.0;111.139190674
77;28655.0;6.0;2028.0;15.0;106.655380249
78;29020.0;6.0;2029.0;15.0;101.193954468
79;29385.0;6.0;2030.0;15.0;91.1862792969
80;29750.0;6.0;2031.0;15.0;87.9010543823
81;30116.0;6.0;2032.0;15.0;88.927772522
82;30481.0;6.0;2033.0;15.0;96.6566162109
83;30846.0;6.0;2034.0;15.0;150.964065552
84;31211.0;6.0;2035.0;15.0;146.029052734
85;31577.0;6.0;2036.0;15.0;106.292144775
86;31942.0;6.0;2037.0;15.0;121.441482544
87;32307.0;6.0;2038.0;15.0;132.037033081
88;32672.0;6.0;2039.0;15.0;127.855812073
89;33038.0;6.0;2040.0;15.0;98.7833862305
90;33403.0;6.0;2041.0;15.0;158.103134155
91;33768.0;6.0;2042.0;15.0;99.1888580322
92;34133.0;6.0;2043.0;15.0;96.7221755981
93;34499.0;6.0;2044.0;15.0;107.635650635
94;34864.0;6.0;2045.0;15.0;143.678024292
95;35229.0;6.0;2046.0;15.0;124.29598999
96;35594.0;6.0;2047.0;15.0;99.1638259888
97;35960.0;6.0;2048.0;15.0;110.661064148
98;36325.0;6.0;2049.0;15.0;103.55431366
99;36690.0;6.0;2050.0;15.0;103.725280762
100;37055.0;6.0;2051.0;15.0;119.225891113
101;37421.0;6.0;2052.0;15.0;72.5425262451
102;37786.0;6.0;2053.0;15.0;87.1355133057
103;38151.0;6.0;2054.0;15.0;111.919258118
104;38516.0;6.0;2055.0;15.0;106.465194702
105;38882.0;6.0;2056.0;15.0;100.656661987
106;39247.0;6.0;2057.0;15.0;92.1509780884
107;39612.0;6.0;2058.0;15.0;76.5994262695
108;39977.0;6.0;2059.0;15.0;106.576766968
109;40343.0;6.0;2060.0;15.0;89.5096054077
110;40708.0;6.0;2061.0;15.0;78.2671661377
111;41073.0;6.0;2062.0;15.0;234.798355103
112;41438.0;6.0;2063.0;15.0;90.1852264404
113;41804.0;6.0;2064.0;15.0;151.549804688
114;42169.0;6.0;2065.0;15.0;101.706916809
115;42534.0;6.0;2066.0;15.0;155.091659546
116;42899.0;6.0;2067.0;15.0;107.174285889
117;43265.0;6.0;2068.0;15.0;71.3059768677
118;43630.0;6.0;2069.0;15.0;187.615036011
119;43995.0;6.0;2070.0;15.0;125.707084656
120;44360.0;6.0;2071.0;15.0;128.33241272
121;44726.0;6.0;2072.0;15.0;112.998016357
122;45091.0;6.0;2073.0;15.0;89.3082122803
123;45456.0;6.0;2074.0;15.0;100.369781494
124;45821.0;6.0;2075.0;15.0;94.5897369385
125;46187.0;6.0;2076.0;15.0;103.806556702
126;46552.0;6.0;2077.0;15.0;120.392074585
127;46917.0;6.0;2078.0;15.0;89.7348327637
128;47282.0;6.0;2079.0;15.0;84.6894607544
129;47648.0;6.0;2080.0;15.0;106.484291077
130;48013.0;6.0;2081.0;15.0;98.3321304321
131;48378.0;6.0;2082.0;15.0;121.243225098
132;48743.0;6.0;2083.0;15.0;147.478057861
133;49109.0;6.0;2084.0;15.0;112.534996033
134;49474.0;6.0;2085.0;15.0;143.915786743
135;49839.0;6.0;2086.0;15.0;87.8129959106
136;50204.0;6.0;2087.0;15.0;88.9919891357
137;50570.0;6.0;2088.0;15.0;194.332214355
138;50935.0;6.0;2089.0;15.0;98.0777893066
139;51300.0;6.0;2090.0;15.0;115.171020508
140;51665.0;6.0;2091.0;15.0;115.376014709
141;52031.0;6.0;2092.0;15.0;140.139709473
142;52396.0;6.0;2093.0;15.0;140.436080933
143;52761.0;6.0;2094.0;15.0;102.345581055
144;53126.0;6.0;2095.0;15.0;87.5625305176
145;53492.0;6.0;2096.0;15.0;116.696762085
146;53857.0;6.0;2097.0;15.0;100.618301392
147;54222.0;6.0;2098.0;15.0;90.2347717285
148;54587.0;6.0;2099.0;15.0;94.005065918
149;54952.0;6.0;2100.0;15.0;95.0785598755
